id	manufacturer	model_name	model_code	icao_type_code	engine_type	new_engine_type	aircraft_family	new_aircraft_family	aircraft_category
88	AC11	AC11 COMMANDER 114	AC1_AC11	AC11	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
89	Aero	Aero Commander 500	AC5_AC50	AC50	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
254	AeroAndina	AeroAndina MXP-1000 Tayrona	MX1_MX1T	MX1T	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
159	Aerospatiale	Aerospatiale Se.210 Caravelle	CRV_S210	S210	JET	TURBOFAN	FIXED_WING	CARAVELLE_FAMILY	C
101	Aerospatiale	Aerospatiale/Alenia ATR42-300/320	AT4_AT43	AT43	TURBOPROP	TURBOPROP	FIXED_WING	ATR_FAMILY	B
102	Aerospatiale	Aerospatiale/Alenia ATR42-500	AT5_AT45	AT45	TURBOPROP	TURBOPROP	FIXED_WING	ATR_FAMILY	B
103	Aerospatiale	Aerospatiale/Alenia ATR72	AT7_AT72	AT72	TURBOPROP	TURBOPROP	FIXED_WING	ATR_FAMILY	B
285	Aerospatiale	Aerospatiale/BAC Concorde	SSC_CONC	CONC	JET	TURBOJET	FIXED_WING	CONCORDE_FAMILY	E
9	Aérospatiale/BAC	Concorde	CONCORDE	CONC	TURBOJET	TURBOJET	Concorde	CONCORDE_FAMILY	SUPERSONIC
77	Agusta	Agusta A-109 (helicopter)	A09_A109	A109	TURBOSHAFT	TURBOSHAFT	HELICOPTER	AW109_FAMILY	A
293	Agusta	Agusta A609 Tilt (helicopter)	TIL_A609	A609	TURBOSHAFT	TURBOSHAFT	HELICOPTER	A609_FAMILY	A
82	Agusta	Agusta AW139 (helicopter)	A39_AW39	AW39	TURBOSHAFT	TURBOSHAFT	HELICOPTER	AW139_FAMILY	A
205	Agusta EH101	Agusta EH101/AW101(helicopter)	EH1_EH10	EH10	TURBOSHAFT	TURBOSHAFT	HELICOPTER	EH101_FAMILY	A
16	Airbus	Airbus 310-200	312_A312	A312	JET	TURBOFAN	FIXED_WING	A310_FAMILY	C
17	Airbus	Airbus 310-300	313_A313	A313	JET	TURBOFAN	FIXED_WING	A310_FAMILY	C
21	Airbus	Airbus 319 NEO	31N_A19N	A19N	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
25	Airbus	Airbus 321 NEO	32Q_A21N	A21N	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
40	Airbus	Airbus 400 Military	400_A400	A400	JET	TURBOFAN	FIXED_WING	A400M_FAMILY	E
14	Airbus	Airbus A220-100	221_BCS1	BCS1	JET	TURBOFAN	FIXED_WING	A220_FAMILY	C
15	Airbus	Airbus A220-300	223_BCS3	BCS3	JET	TURBOFAN	FIXED_WING	A220_FAMILY	C
87	Airbus	Airbus A300-600 pax	AB6_A306	A306	JET	TURBOFAN	FIXED_WING	A300_FAMILY	D
18	Airbus	Airbus A318	318_A318	A318	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
20	Airbus	Airbus A318 versione Business Jet	31B_318B	318B	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
19	Airbus	Airbus A319	319_A319	A319	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
24	Airbus	Airbus A320NEO	32N_A20N	A20N	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
26	Airbus	Airbus A330-200	332_A330	A330	JET	TURBOFAN	FIXED_WING	A330_FAMILY	D
27	Airbus	Airbus A330-300	333_A330	A330	JET	TURBOFAN	FIXED_WING	A330_FAMILY	D
29	Airbus	Airbus A330-800 neo	338_A338	A338	JET	TURBOFAN	FIXED_WING	A330_FAMILY	C
30	Airbus	Airbus A330-900 neo	339_A339	A339	JET	TURBOFAN	FIXED_WING	A330_FAMILY	D
31	Airbus	Airbus A340-200 pax	342_A342	A342	JET	TURBOFAN	FIXED_WING	A340_FAMILY	E
32	Airbus	Airbus A340-300 pax	343_A343	A343	JET	TURBOFAN	FIXED_WING	A340_FAMILY	E
33	Airbus	Airbus A340-500 pax	345_A345	A345	JET	TURBOFAN	FIXED_WING	A340_FAMILY	E
34	Airbus	Airbus A340-600 pax	346_A346	A346	JET	TURBOFAN	FIXED_WING	A340_FAMILY	E
35	Airbus	Airbus A350-1000	351_A35K	A35K	JET	TURBOFAN	FIXED_WING	A350_FAMILY	E
36	Airbus	Airbus A350-900	359_A359	A359	JET	TURBOFAN	FIXED_WING	A350_FAMILY	E
39	Airbus	Airbus A380	388_A388	A388	JET	TURBOFAN	FIXED_WING	A380_FAMILY	E
38	Airbus	Airbus A380 pax	380_A380	A380	JET	TURBOFAN	FIXED_WING	A380_FAMILY	E
224	Airbus	Airbus Helicopters H135	H13_H135	H135	TURBOSHAFT	TURBOSHAFT	HELICOPTER	H135_FAMILY	A
225	Airbus	Airbus Helicopters H145	H14_H145	H145	TURBOSHAFT	TURBOSHAFT	HELICOPTER	H145_FAMILY	A
22	Airbus A320-100	Airbus A320-100/200	320_A320	A320	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
23	Airbus A321-100	Airbus A321-100/200	321_A321	A321	JET	TURBOFAN	FIXED_WING	A320_FAMILY	C
5	Aircraft Industries	L 410 NG	L410_NG	L410	TURBOPROP	TURBOPROP	Let L-410	LET_L410_FAMILY	TURBOPROP_COMMUTER
97	Antonov	Antonov AN-12	ANF_AN12	AN12	JET	TURBOFAN	FIXED_WING	AN12_FAMILY	C
85	Antonov	Antonov AN-124 Ruslan	A4F_A124	A124	JET	TURBOFAN	FIXED_WING	AN12_FAMILY	D
83	Antonov	Antonov AN-140	A40_A140	A140	JET	TURBOFAN	FIXED_WING	AN140_FAMILY	C
84	Antonov	Antonov AN-140	A48_A148	A148	JET	TURBOFAN	FIXED_WING	AN140_FAMILY	C
94	Antonov	Antonov AN-24	AN4_AN24	AN24	JET	TURBOFAN	FIXED_WING	AN24_FAMILY	C
78	Antonov	Antonov AN-26	A26_AN26	AN26	TURBOPROP	TURBOPROP	FIXED_WING	AN26_FAMILY	B
80	Antonov	Antonov AN-30	A30_AN30	AN30	TURBOPROP	TURBOPROP	FIXED_WING	AN26_FAMILY	B
81	Antonov	Antonov AN-32	A32_AN32	AN32	TURBOPROP	TURBOPROP	FIXED_WING	AN26_FAMILY	B
95	Antonov AN-26	Antonov AN-26 / AN-30 /AN-32	AN6_AN6	AN6	JET	TURBOFAN	FIXED_WING	AN26_FAMILY	C
79	Antonov AN-28	Antonov AN-28 / PZL Miele M-28 Skytruck	A28_AN28	AN28	TURBOPROP	TURBOPROP	FIXED_WING	AN28_FAMILY	B
96	Antonov AN-72	Antonov AN-72 / AN-74	AN7_AN72	AN72	JET	TURBOFAN	FIXED_WING	AN72_FAMILY	C
7	ATR	ATR 42-600	ATR42_600	AT46	TURBOPROP	TURBOPROP	ATR 42	ATR_FAMILY	TURBOPROP_REGIONAL
194	Austflight	Austflight drifter	DRI_DRIF	DRIF	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
273	Aviat	Aviat Pitts Special S2S	PTS_PTS2	PTS2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
98	Avro	Avro RJ100 Avroliner	AR1_RJ1H	RJ1H	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
99	Avro	Avro RJ85 Avroliner	AR8_RJ85	RJ85	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
104	Avro	Avro RJX100	AX1_RX1H	RX1H	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
105	Avro	Avro RJX85	AX8_RX85	RX85	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
100	Avro RJ70	Avro RJ70/85/100 Avroliner	ARJ_ARJ	ARJ	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
93	Ayres	Ayres LM-200 Loadmaster	ALM_LOAD	LOAD	TURBOPROP	TURBOPROP	FIXED_WING	AYRES_LOADMASTER_FAMILY	B
108	BAC	BAC 1-11 (One-Eleven)	B11_BA11	BA11	JET	TURBOFAN	FIXED_WING	BAC_111_FAMILY	C
11	BAe	BAe 146-100 Pax	141_B461	B461	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
12	BAe	BAe 146-200 pax	142_B462	B462	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
13	BAe	BAe 146-300 pax	143_B463	B463	JET	TURBOFAN	FIXED_WING	BAE_146_FAMILY	C
119	Baron	Baron G58	BE8_BE58	BE58	PISTON	PISTON	FIXED_WING	BEECH_BARON_FAMILY	A
111	Beech	Beech Bonanza A36	B36_B36T	B36T	PISTON	PISTON	FIXED_WING	BEECH_BONANZA_FAMILY	A
122	Beech	Beech Bonanza F33A	BEP_BE33	BE33	PISTON	PISTON	FIXED_WING	BEECH_BONANZA_FAMILY	A
110	Beech Bonanza V35	Beech Bonanza V35/H35	B35_B35T	B35T	PISTON	PISTON	FIXED_WING	BEECH_BONANZA_FAMILY	A
121	Beechcraft	Beechcraft 1900D	BEH_B190	B190	TURBOPROP	TURBOPROP	FIXED_WING	BEECH_1900_FAMILY	B
117	Beechcraft	Beechcraft Bonanza G36	BE3_BE36	BE36	PISTON	PISTON	FIXED_WING	BEECH_BONANZA_FAMILY	A
114	Beechcraft	Beechcraft Duke 60	B60_BE60	BE60	TURBOPROP	TURBOPROP	FIXED_WING	BEECH_DUKE_FAMILY	B
118	Beechcraft	Beechcraft King Air 350i	BE5_B350	B350	TURBOPROP	TURBOPROP	FIXED_WING	KING_AIR_FAMILY	B
120	Beechcraft	Beechcraft Model 99	BE9_BE99	BE99	TURBOPROP	TURBOPROP	FIXED_WING	BEECH_99_FAMILY	B
109	Beechcraft	Beechcraft Super King Air B200	B20_BE20	BE20	TURBOPROP	TURBOPROP	FIXED_WING	KING_AIR_FAMILY	B
107	Beechcraft	Beechcraft Turbine Duke	B0T_B60T	B60T	TURBOPROP	TURBOPROP	FIXED_WING	BEECH_DUKE_FAMILY	B
115	Beechcraft 1900	Beechcraft 1900/1900C/1900D	BE1_B190	B190	PISTON	PISTON	FIXED_WING	BEECH_1900_FAMILY	A
116	Beechcraft twin piston engines	Beechcraft twin piston engines / Baron 58	BE2_BE2	BE2	PISTON	PISTON	FIXED_WING	BEECH_BARON_FAMILY	A
123	Beechcraft twin turboprop engine	Beechcraft twin turboprop engine / King air 350	BET_B350	B350	TURBOPROP	TURBOPROP	FIXED_WING	KING_AIR_FAMILY	B
106	Bell	Bell 206 (helicopter)	B06_B06	B06	TURBOSHAFT	TURBOSHAFT	HELICOPTER	BELL_206_FAMILY	A
113	Bell	Bell 407 (helicopter)	B47_B407	B407	TURBOSHAFT	TURBOSHAFT	HELICOPTER	BELL_407_FAMILY	A
112	Bell	Bell 412 All models (helicopter)	B41_B412	B412	TURBOSHAFT	TURBOSHAFT	HELICOPTER	BELL_412_FAMILY	A
124	Bell	Bell Helicopters (helicopter)	BH2_BH2	BH2	TURBOSHAFT	TURBOSHAFT	HELICOPTER	GENERIC_BELL_HELICOPTER_FAMILY	A
125	Bellanca	Bellanca Scout - Super Decathlon	BL8_BL8	BL8	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
127	Beriev	Beriev Be-200c	BR2_BER2	BER2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
37	BOEING	BOEING 377 STRATOCRUISER PAX	377_B377	B377	JET	TURBOFAN	FIXED_WING	B377_FAMILY	C
43	Boeing	Boeing 707-300 pax	703_B703	B703	JET	TURBOFAN	FIXED_WING	B707_FAMILY	D
44	Boeing	Boeing 717-200	717_B712	B712	JET	TURBOFAN	FIXED_WING	B717_FAMILY	C
45	Boeing	Boeing 727-200 pax	722_B722	B722	JET	TURBOFAN	FIXED_WING	B727_FAMILY	C
76	Boeing	Boeing 737 MAX 10 (pax)	7MJ_B3XM	B3XM	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
73	Boeing	Boeing 737 MAX 7 (pax)	7M7_B37M	B37M	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
74	Boeing	Boeing 737 MAX 8 (pax)	7M8_B38M	B38M	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
75	Boeing	Boeing 737 MAX 9 (pax)	7M9_B39M	B39M	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
46	Boeing	Boeing 737-100 pax	731_B731	B731	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
47	Boeing	Boeing 737-200 pax	732_B732	B732	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
48	Boeing	Boeing 737-300 pax	733_B733	B733	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
49	Boeing	Boeing 737-400 pax	734_B734	B734	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
50	Boeing	Boeing 737-500 pax	735_B735	B735	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
51	Boeing	Boeing 737-600 pax	736_B736	B736	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
57	Boeing	Boeing 737-700 (winglets) pax	73W_B73W	B73W	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
54	Boeing	Boeing 737-700 pax	73G_B73G	B73G	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
55	Boeing	Boeing 737-800 (winglets) pax	73H_B73H	B73H	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
52	Boeing	Boeing 737-800 pax	738_B738	B738	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
56	Boeing	Boeing 737-900 (winglets) pax	73J_B739	B739	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
53	Boeing	Boeing 737-900 pax	739_B739	B739	JET	TURBOFAN	FIXED_WING	B737_FAMILY	C
